High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
200734 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
200750 Total,28,0,0,0,0,26,2,1,0,0,24,0,0,1
200795 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
200804 Total,57,0,0,0,3,50,4,3,10,0,41,0,0,2
200805 Total,47,1,0,0,2,43,2,6,0,0,38,0,2,1
200810 Total,98,0,0,1,1,90,1,15,25,1,56,0,0,5
200812 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
200818 Total,44,0,0,0,1,39,4,4,0,1,36,0,0,3
200820 Total,92,0,0,0,3,85,2,6,18,0,68,0,0,0
200825 Total,21,0,0,0,1,19,0,5,2,0,13,0,1,0
200830 Total,39,0,0,0,1,38,1,4,4,0,30,0,1,0
200875 Total,63,2,1,0,1,55,1,18,4,0,40,0,3,3
200892 Total,114,0,0,0,4,100,4,6,3,0,101,0,0,2
200895 Total,169,1,2,0,3,157,4,14,6,1,145,0,3,3
200930 Total,26,1,0,1,0,25,0,2,1,0,23,0,1,0
200932 Total,8,0,0,1,0,7,1,1,1,0,6,0,0,0
200953 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
200955 Total,76,1,0,0,1,70,0,4,1,2,71,0,0,1
200960 Total,21,0,0,1,1,18,0,3,0,0,17,0,1,1
200961 Total,12,0,0,0,1,10,0,1,1,0,10,0,0,1
200970 Total,100,0,1,1,2,89,2,4,3,0,86,0,0,6
201063 Total,20,0,0,0,0,17,0,1,0,0,17,0,0,3
201090 Total,22,0,1,1,1,20,2,0,2,0,19,0,0,0
201095 Total,78,0,2,0,3,68,2,2,5,1,67,0,0,4
201100 Total,125,0,3,1,0,114,8,8,6,1,111,0,0,1
201140 Total,7,0,0,0,0,7,0,0,0,0,7,0,0,0
201143 Total,84,0,1,1,1,80,0,2,4,0,80,0,0,0
201145 Total,73,0,0,0,0,69,0,3,0,1,68,0,1,3
210590 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220000 Total,31,0,0,0,0,30,2,2,1,0,29,0,0,0
220003 Total,10,0,0,0,0,7,0,0,0,0,10,0,0,0
220004 Total,14,0,0,7,3,4,1,3,4,1,5,0,0,1
220005 Total,155,0,1,10,6,135,6,11,8,3,133,0,1,2
220007 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220008 Total,41,0,0,3,1,36,1,3,10,1,27,0,1,0
220010 Total,10,0,0,0,0,10,1,0,0,0,10,0,0,0
220011 Total,18,0,1,10,2,5,3,1,9,1,4,0,2,0
220012 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220014 Total,3,0,0,0,1,2,0,1,2,0,2,0,0,0
220015 Total,112,0,1,11,8,95,3,17,8,0,91,0,2,0
